rate_uuid,service_code,service_description,negotiated_rate,billing_code_type,billing_class,rate_type,organization_uuid,organization_name,organization_type,tin,provider_count,specialties,provider_types,zip_codes,state_codes,nppes_specialties,nppes_provider_types,primary_zip,primary_state,primary_specialty,primary_nppes_specialty,created_at,updated_at,rate_category,service_category
9d8393bf-e26d-52a5-aadc-2dbafd85ccf5,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,1b71f30f-804f-5fb3-907e-2509f5847b47,Organization-720467503,Unknown,720467503,52.0,[''],['Individual'],[],[],"['Nurse Practitioner, Family']",['Individual'],,,,"Nurse Practitioner, Family",2025-05-29 13:18:33.140908+00:00,2025-05-29 13:18:33.140909+00:00,$0-100,Surgery
61758faa-b288-5426-980f-e6cd6085eb52,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,09182183-b6be-58d9-bdb8-0f799f6c1927,Organization-721313430,Unknown,721313430,10.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141017+00:00,2025-05-29 13:18:33.141017+00:00,$0-100,Surgery
a0688803-d770-5911-b342-29adf085a1d6,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,89ab9d79-432f-59d2-b098-9f6293726c93,Organization-721304948,Unknown,721304948,307.0,[''],['Individual'],[],[],"['Radiology, Diagnostic Radiology']",['Individual'],,,,"Radiology, Diagnostic Radiology",2025-05-29 13:18:33.141076+00:00,2025-05-29 13:18:33.141076+00:00,$0-100,Surgery
1b9cc70a-5d02-59bf-8964-2efb27fae79f,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,282a8960-1a99-5d5b-a513-65f5976b4bda,Organization-720827144,Unknown,720827144,89.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141288+00:00,2025-05-29 13:18:33.141288+00:00,$0-100,Surgery
abec1dd3-eb90-5a3e-a95a-7f4cc6304ec5,20552,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 1 OR 2 MUSCLE(S)",41.69,CPT,professional,negotiated,46e5409a-9896-58b0-a502-932b556da5c9,Organization-721505205,Unknown,721505205,10.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.141344+00:00,2025-05-29 13:18:33.141344+00:00,$0-100,Surgery
c76bdc32-da34-56ad-9937-00c3531f3c17,20553,"INJECTION(S); SINGLE OR MULTIPLE TRIGGER POINT(S), 3 OR MORE MUSCLES",57.02,CPT,professional,negotiated,2e4f57ee-cf0e-5a86-be02-fb8368bdb55e,Organization-475138029,Unknown,475138029,18.0,[''],['Individual'],[],[],['Physician Assistant'],['Individual'],,,,Physician Assistant,2025-05-29 13:18:33.141476+00:00,2025-05-29 13:18:33.141477+00:00,$0-100,Surgery
91a5cf0d-166b-5b10-85ed-395d80f91eca,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,d498bbc5-e2b1-5c38-b872-028488541052,Organization-720478620,Unknown,720478620,163.0,[''],['Individual'],[],[],"['Family Medicine' 'Internal Medicine, Clinical Cardiac Electrophysiology'
 'Nurse Practitioner, Gerontology']",['Individual'],,,,Family Medicine,2025-05-29 13:18:33.142031+00:00,2025-05-29 13:18:33.142031+00:00,$100-500,Surgery
0f90774c-eaa8-5203-bfdd-5b8fccbc7a78,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,a42b212c-5d9c-5966-bf5d-e4238e5368ba,Organization-721209527,Unknown,721209527,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142254+00:00,2025-05-29 13:18:33.142255+00:00,$100-500,Surgery
733a5511-6d46-5cd1-af59-079eb1ae5d59,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,a41d361c-314c-577f-8f26-508f601eaf55,Organization-472690442,Unknown,472690442,1.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142312+00:00,2025-05-29 13:18:33.142313+00:00,$100-500,Surgery
9f65b8cb-fb95-5154-b429-372540459e0b,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,3e0b1237-3612-55c3-afb5-1d68620665c9,Organization-264542141,Unknown,264542141,30.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142367+00:00,2025-05-29 13:18:33.142367+00:00,$100-500,Surgery
10c36251-e9b6-5f8e-becd-5f45342e9860,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,e78e925e-d690-5609-866a-f6a524017d7c,Organization-721300680,Unknown,721300680,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142494+00:00,2025-05-29 13:18:33.142495+00:00,$100-500,Surgery
a889bd83-353d-5303-898f-9ccc11bbc8b1,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,596653cf-cb58-5dd6-896e-8b772c320c94,Organization-454406602,Unknown,454406602,1.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142555+00:00,2025-05-29 13:18:33.142556+00:00,$100-500,Surgery
013d456f-b61d-59db-8a69-cac3df15e68f,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,0a409039-5b44-5e60-9ebb-e16a983e0a92,Organization-853028909,Unknown,853028909,2.0,[''],['Individual'],[],[],[],[],,,,,2025-05-29 13:18:33.142612+00:00,2025-05-29 13:18:33.142613+00:00,$100-500,Surgery
31653dc4-9406-58db-b2b1-b698e5671e02,20610,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION, MAJ JOINT OR BURSA (EG, SHOULDER, HIP, KNEE, SUBACROMIA",164.84,CPT,professional,negotiated,e5459f16-3611-5846-bae5-c2d67d5c9c27,Organization-203910769,Unknown,203910769,168.0,[''],['Individual'],[],[],"['Nurse Practitioner, Acute Care']",['Individual'],,,,"Nurse Practitioner, Acute Care",2025-05-29 13:18:33.142662+00:00,2025-05-29 13:18:33.142663+00:00,$100-500,Surgery
