organization_uuid,organization_name,provider_count,rate_count,avg_rate,median_rate,unique_service_codes
cd0fccfc-5673-56b5-9214-46d72eaba72c,Organization-135562308,3368.0,42,150.21,134.28,12
eadbdd49-a824-588c-b4b3-9c2bdaa20331,Organization-756002868,3118.0,190,146.03,106.22,45
00eaf361-a53f-5128-a8df-59461f407bfc,Organization-386006309,3075.0,727,189.42,107.3,77
3ff5436a-47fc-52d7-9306-fd48db146ea6,Organization-236291113,2892.0,211,172.33,133.92,40
f602a3cc-7479-5c3e-a55d-d42e1aecc530,Organization-201020949,2703.0,9,57.46,50.0,6
9bb0d499-09d1-5350-9cab-4493f080fcc3,Organization-232743545,2456.0,202,252.28,158.05,48
2053e6cd-e752-5f29-a21a-b4164eee2f6f,Organization-611661781,2389.0,21,141.05,118.8,7
c1746936-3853-56d4-a387-30b62485dc56,Organization-113322995,2088.0,81,161.22,152.54,23
b07db3a5-cb2f-5f82-938d-1a5c4d353821,Organization-205497203,2069.0,176,203.21,114.88,45
af08c73d-7dec-5d0f-bc95-3e2e614401b1,Organization-232700908,2020.0,228,223.29,138.14,56
feffa610-304a-5d86-b64f-5623b98f43fa,Organization-381357020,2019.0,653,197.52,107.3,76
87caad1b-80c3-5383-8739-7a45dcdfadfb,Organization-760459500,1890.0,204,282.63,121.02,68
58895051-911d-568c-87ac-af14d9e642c9,Organization-611276316,1779.0,249,212.25,125.95,35
b912a548-f099-5fd9-90c2-d2b6819cec51,Organization-381358164,1756.0,90,313.04,213.0,22
222e98d9-f212-52a6-a217-1e9fba24f344,Organization-237064656,1739.0,141,260.27,188.97,36
7947b334-6c16-524f-a28d-1cfee7163005,Organization-752536818,1721.0,444,136.26,109.06,40
a93faf31-0cb6-5aec-bb0f-f25725b19f85,Organization-205392766,1563.0,336,265.68,139.37,53
51f467f8-a124-5c7f-9241-f49bcd293959,Organization-470785575,1361.0,258,469.38,250.5,70
1c86e5df-bb71-5cd3-91ef-4fb210001a12,Organization-954540991,1353.0,65,360.04,189.51,39
32f649ad-159e-5ca2-a4fc-0b416dddb8be,Organization-610945743,1332.0,457,180.09,121.59,59
7ea19ac9-735a-5fae-bb6e-35fe71d64b8b,Organization-481163756,1239.0,429,135.12,100.29,67
cac6fb5f-404b-53d5-83cc-31c0c732f09a,Organization-510103684,1216.0,75,157.65,143.78,13
f9be1b85-2e42-5023-a2bf-526560341eeb,Organization-591680273,1188.0,40,159.36,150.76,17
cf9c64f0-16e2-5843-803a-2ce78bb5e897,Organization-680334324,1187.0,74,195.11,157.87,25
379ab54c-0169-5605-82b3-5131f4b94359,Organization-300791563,1179.0,166,255.96,134.08,45
3115debe-c27d-5a08-9456-8ed8b183c8ce,Organization-954373071,1136.0,71,665.23,583.11,28
ec8f8761-9dda-5d8a-ba6d-2b67bdb70d67,Organization-752613493,1126.0,270,178.95,107.94,41
06df4899-0e43-5fdd-a47d-a1a5419507d0,Organization-232809585,1125.0,153,174.33,148.94,32
c04f0ed3-54e2-5026-a03b-1750540ce745,Organization-351972384,1116.0,125,166.78,112.26,22
97dcc77e-9fc9-50f0-a11a-7bdcab073737,Organization-453023019,1108.0,19,305.96,149.89,8
fa352eae-8cc9-5dae-a1c9-846519ff330c,Organization-870737749,1072.0,149,417.46,200.0,57
bb412107-e302-5128-8943-b93cacacd109,Organization-616001218,968.0,514,143.33,114.88,54
0c140e75-7c53-58a0-b0f7-0622bf9ee92d,Organization-381459362,966.0,643,192.81,105.48,76
21df7af4-30e4-5036-85ce-dfb644b959f3,Organization-351747218,962.0,143,331.55,154.08,39
